Area code,Location code,Longitude,Latitude,Total beehives,Total active frames
1,11422,143.29946,-35.084866,28,248
1,11139,143.309228,-35.084795,27,250
1,11315,143.300977,-35.086929,36,306
1,11239,143.30477,-35.086289,28,262
1,12515,143.300384,-35.088565,40,384
1,12415,143.303466,-35.088659,44,426
1,12315,143.305031,-35.088636,40,374
1,12235,143.30899,-35.088754,36,368
1,12135,143.310958,-35.088565,34,328
1,13622,143.297279,-35.090746,36,306
1,13422,143.300811,-35.091576,36,314
1,13322,143.303893,-35.09231,40,360
1,13722,143.296307,-35.093543,40,354
1,13522,143.299223,-35.092974,32,314
1,13222,143.306193,-35.093259,40,390
1,13122,143.309133,-35.092524,40,406
1,1456,143.299839,-35.096388,44,386
1,1446,143.303419,-35.096388,44,410
1,1426,143.306786,-35.096554,48,424
1,1416,143.311669,-35.096436,40,392
1,1546,143.297587,-35.10011,28,248
1,1536,143.300835,-35.099779,28,252
1,1526,143.305482,-35.099257,24,238
1,1516,143.310081,-35.098143,24,224
2,21222,143.291281,-35.084914,28,264
2,21122,143.295501,-35.084985,20,180
2,21322,143.286326,-35.087355,32,312
2,22522,143.285851,-35.088897,44,418
2,22422,143.289194,-35.089323,40,366
2,22322,143.292087,-35.08892,40,368
2,22122,143.295951,-35.088897,44,382
2,23122,143.292324,-35.091125,28,250
2,23622,143.284097,-35.092856,48,460
2,23522,143.288009,-35.092737,44,416
2,23322,143.291043,-35.092737,28,246
2,23722,143.282983,-35.094634,40,384
2,23422,143.288341,-35.094183,12,116
2,23222,143.291755,-35.094183,28,266
2,24522,143.283978,-35.095677,28,266
2,24422,143.286918,-35.096554,44,384
2,24322,143.290854,-35.096602,28,262
2,24222,143.29313,-35.095748,32,318
2,2416,143.295927,-35.09627,44,372
2,24617,143.283931,-35.097929,20,192
2,25217,143.286349,-35.097929,16,156
2,2516,143.293746,-35.099352,28,258
3,31522,143.269493,-35.085245,36,330
3,31422,143.272314,-35.08553,32,294
3,31322,143.273926,-35.085008,36,342
3,31222,143.276795,-35.084961,44,416
3,31122,143.27945,-35.085032,40,374
3,32533,143.270892,-35.088754,44,390
3,32433,143.273997,-35.088754,44,406
3,32233,143.27798,-35.088731,44,410
3,32133,143.280802,-35.088375,40,390
3,33122,143.281631,-35.090888,48,474
3,33537,143.270844,-35.092571,44,392
3,33437,143.27395,-35.092571,44,390
3,33337,143.276771,-35.092571,44,416
3,33237,143.279853,-35.092595,40,378
3,34520,143.271034,-35.096459,44,430
3,34420,143.274021,-35.096531,44,424
3,34320,143.276913,-35.096673,44,414
3,34220,143.279047,-35.09672,44,400
3,35314,143.270773,-35.099328,36,326
3,35214,143.274661,-35.099233,36,332
3,35120,143.282485,-35.098735,28,232
4,41522,143.25605,-35.086004,44,422
4,41322,143.260223,-35.085649,40,350
4,41222,143.262641,-35.085364,40,342
4,41122,143.265794,-35.085127,40,372
4,42541,143.256999,-35.089134,46,390
4,42441,143.259773,-35.088707,44,404
4,42333,143.263945,-35.088802,44,390
4,42233,143.266553,-35.088754,44,408
4,42133,143.268971,-35.088897,40,372
