"Weather ID","Weather ID group","Weather ID description","Mean Ratings",""
"200","Thunderstorm","thunderstorm with light rain ","4",""
"201","Thunderstorm","thunderstorm with rain ","2.5",""
"202","Thunderstorm","thunderstorm with heavy rain ","1",""
"210","Thunderstorm","light thunderstorm","4.5",""
"211","Thunderstorm","thunderstorm ","5",""
"212","Thunderstorm","heavy thunderstorm ","2.5",""
"221","Thunderstorm","ragged thunderstorm","1.5",""
"230","Thunderstorm","thunderstorm with light drizzle ","3.5",""
"231","Thunderstorm","thunderstorm with drizzle","2.5",""
"232","Thunderstorm","thunderstorm with heavy drizzle ","1.5",""
"300","Drizzle","light intensity drizzle","3.5",""
"301","Drizzle","drizzle","3",""
"302","Drizzle","heavy intensity drizzle","2",""
"310","Drizzle","light intensity drizzle rain","2",""
"311","Drizzle","drizzle rain","1.5",""
"312","Drizzle","heavy intensity drizzle rain","1.5",""
"313","Drizzle","shower rain and drizzle ","1.5",""
"314","Drizzle","heavy shower rain and drizzle","1",""
"321","Drizzle","shower drizzle","1.5",""
"500","Rain","light rain","2.5",""
"501","Rain","moderate rain","1.5",""
"502","Rain","heavy intensity rain","1",""
"503","Rain","very heavy rain","1",""
"504","Rain","extreme rain","1",""
"511","Rain","freezing rain","1",""
"520","Rain","light intensity shower rain","2",""
"521","Rain","shower rain","1.5",""
"522","Rain","heavy intensity shower rain","1",""
"531","Rain","ragged shower rain","1",""
"600","Snow","light snow","1",""
"601","Snow","snow","1",""
"602","Snow","heavy snow","1",""
"611","Snow","sleet","1",""
"612","Snow","light shower sleet","1",""
"613","Snow","shower sleet","1",""
"615","Snow","light rain and snow","1",""
"616","Snow","rain and snow","1",""
"620","Snow","light shower snow","1",""
"621","Snow","shower snow","1",""
"622","Snow","heavy shower snow","1",""
"701","Mist","mist","4.5",""
"711","Smoke","smoke","4.5",""
"721","Haze","haze","4.5",""
"731","Dust","sand/dust whirls","3",""
"741","Fog","fog","4",""
"751","Sand","sand","1.5",""
"761","Dust","dust","2.5",""
"762","Ash","volcanic ash","1",""
"771","Squall","squalls","1",""
"781","Tornado","tornado","1",""
"800","Clear","clear sky","10",""
"801","Clouds","few clouds","7",""
"802","Clouds","scattered clouds","7",""
"803","Clouds","broken clouds","6.5",""
"804","Clouds","overcast clouds","6",""
